a,b,c,d,gain
1.12e-05,0.000132012,5.066667e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,5.066667e-06,36.58617462,36.6602668
1.12e-05,0.000132012,5.066667e-06,42.00357706,41.96315779
1.12e-05,0.000132012,5.066667e-06,46.99589072,46.94265749
1.12e-05,0.000132012,5.066667e-06,50.23232554,50.23246399
1.12e-05,0.000132012,5.066667e-06,52.24958306,52.30142732
1.12e-05,0.000132012,5.066667e-06,53.49785193,53.5862305
1.12e-05,0.000132012,5.066667e-06,54.26555914,54.37475246
1.12e-05,0.000132012,5.066667e-06,54.74248985,54.86168867
1.12e-05,0.000132012,5.066667e-06,55.04082737,55.16341707
1.12e-05,0.000132012,5.066667e-06,55.22418413,55.34616681
1.12e-05,0.000132012,5.066667e-06,55.32849565,55.44731919
1.12e-05,0.000132012,5.066667e-06,55.37418179,55.48803425
1.12e-05,0.000132012,5.066667e-06,55.37273036,55.4801282
1.12e-05,0.000132012,5.333333e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,5.333333e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,5.333333e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,5.333333e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,5.333333e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,5.333333e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,5.333333e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,5.333333e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,5.333333e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,5.333333e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,5.333333e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,5.333333e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,5.333333e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,5.333333e-06,36.52569087,36.51570478
1.12e-05,0.000132012,5.333333e-06,42.04403548,42.06386002
1.12e-05,0.000132012,5.333333e-06,47.04206418,47.06289199
1.12e-05,0.000132012,5.333333e-06,50.22951697,50.22737458
1.12e-05,0.000132012,5.333333e-06,52.20136382,52.17850646
1.12e-05,0.000132012,5.333333e-06,53.41821844,53.3812249
1.12e-05,0.000132012,5.333333e-06,54.16819045,54.12326352
1.12e-05,0.000132012,5.333333e-06,54.63664729,54.58794445
1.12e-05,0.000132012,5.333333e-06,54.93214442,54.88218508
1.12e-05,0.000132012,5.333333e-06,55.11606072,55.06636411
1.12e-05,0.000132012,5.333333e-06,55.22310115,55.17463641
1.12e-05,0.000132012,5.333333e-06,55.27305381,55.22650705
1.12e-05,0.000132012,5.333333e-06,55.27712278,55.23305199
1.12e-05,0.0003889991,2.4e-06,3.84e-05,3.84e-05
1.12e-05,0.0003889991,2.4e-06,4.27e-05,4.27e-05
1.12e-05,0.0003889991,2.4e-06,4.69e-05,4.69e-05
1.12e-05,0.0003889991,2.4e-06,5.12e-05,5.12e-05
1.12e-05,0.0003889991,2.4e-06,5.55e-05,5.55e-05
1.12e-05,0.0003889991,2.4e-06,5.97e-05,5.97e-05
1.12e-05,0.0003889991,2.4e-06,6.4e-05,6.4e-05
1.12e-05,0.0003889991,2.4e-06,6.83e-05,6.83e-05
1.12e-05,0.0003889991,2.4e-06,7.25e-05,7.25e-05
1.12e-05,0.0003889991,2.4e-06,7.68e-05,7.68e-05
1.12e-05,0.0003889991,2.4e-06,8.11e-05,8.11e-05
1.12e-05,0.0003889991,2.4e-06,8.53e-05,8.53e-05
1.12e-05,0.0003889991,2.4e-06,8.96e-05,8.96e-05
1.12e-05,0.0003889991,2.4e-06,18.8763745,18.65347525
1.12e-05,0.0003889991,2.4e-06,20.15529485,19.93290769
1.12e-05,0.0003889991,2.4e-06,21.34935381,21.12956433
1.12e-05,0.0003889991,2.4e-06,22.48041723,22.26370528
1.12e-05,0.0003889991,2.4e-06,23.56472756,23.35156624
1.12e-05,0.0003889991,2.4e-06,24.6149257,24.4058354
1.12e-05,0.0003889991,2.4e-06,25.64409893,25.43992596
1.12e-05,0.0003889991,2.4e-06,26.66104874,26.46251016
1.12e-05,0.0003889991,2.4e-06,27.67622175,27.48422104
1.12e-05,0.0003889991,2.4e-06,28.69968942,28.51535154
1.12e-05,0.0003889991,2.4e-06,29.74218811,29.56697693
1.12e-05,0.0003889991,2.4e-06,30.81337786,30.64912227
1.12e-05,0.0003889991,2.4e-06,31.93190331,31.78021907
1.12e-05,0.0003889991,2.666667e-06,3.84e-05,3.84e-05
1.12e-05,0.0003889991,2.666667e-06,4.27e-05,4.27e-05
1.12e-05,0.0003889991,2.666667e-06,4.69e-05,4.69e-05
1.12e-05,0.0003889991,2.666667e-06,5.12e-05,5.12e-05
1.12e-05,0.0003889991,2.666667e-06,5.55e-05,5.55e-05
1.12e-05,0.0003889991,2.666667e-06,5.97e-05,5.97e-05
1.12e-05,0.0003889991,2.666667e-06,6.4e-05,6.4e-05
1.12e-05,0.0003889991,2.666667e-06,6.83e-05,6.83e-05
1.12e-05,0.0003889991,2.666667e-06,7.25e-05,7.25e-05
1.12e-05,0.0003889991,2.666667e-06,7.68e-05,7.68e-05
1.12e-05,0.0003889991,2.666667e-06,8.11e-05,8.11e-05
1.12e-05,0.0003889991,2.666667e-06,8.53e-05,8.53e-05
1.12e-05,0.0003889991,2.666667e-06,8.96e-05,8.96e-05
1.12e-05,0.0003889991,2.666667e-06,18.26753876,18.09961652
1.12e-05,0.0003889991,2.666667e-06,19.55081398,19.38458539
1.12e-05,0.0003889991,2.666667e-06,20.751949,20.58751065
1.12e-05,0.0003889991,2.666667e-06,21.89194088,21.73047296
1.12e-05,0.0003889991,2.666667e-06,22.98619924,22.82404946
1.12e-05,0.0003889991,2.666667e-06,24.04781074,23.89258837
1.12e-05,0.0003889991,2.666667e-06,25.09069906,24.93943783
1.12e-05,0.0003889991,2.666667e-06,26.12334128,25.97660089
1.12e-05,0.0003889991,2.666667e-06,27.15663164,27.01504513
1.12e-05,0.0003889991,2.666667e-06,28.20129617,28.06569976
1.12e-05,0.0003889991,2.666667e-06,29.26902616,29.14059712
1.12e-05,0.0003889991,2.666667e-06,30.3713072,30.2522671
1.12e-05,0.0003889991,2.666667e-06,31.53316181,31.42588202
1.12e-05,0.0003889991,2.933333e-06,3.84e-05,3.84e-05
1.12e-05,0.0003889991,2.933333e-06,4.27e-05,4.27e-05
1.12e-05,0.0003889991,2.933333e-06,4.69e-05,4.69e-05
1.12e-05,0.0003889991,2.933333e-06,5.12e-05,5.12e-05
1.12e-05,0.0003889991,2.933333e-06,5.55e-05,5.55e-05
1.12e-05,0.0003889991,2.933333e-06,5.97e-05,5.97e-05
1.12e-05,0.0003889991,2.933333e-06,6.4e-05,6.4e-05
1.12e-05,0.0003889991,2.933333e-06,6.83e-05,6.83e-05
1.12e-05,0.0003889991,2.933333e-06,7.25e-05,7.25e-05
1.12e-05,0.0003889991,2.933333e-06,7.68e-05,7.68e-05
1.12e-05,0.0003889991,2.933333e-06,8.11e-05,8.11e-05
1.12e-05,0.0003889991,2.933333e-06,8.53e-05,8.53e-05
1.12e-05,0.0003889991,2.933333e-06,8.96e-05,8.96e-05
1.12e-05,0.0003889991,2.933333e-06,17.80242725,17.66986616
1.12e-05,0.0003889991,2.933333e-06,19.09032604,18.95899388
1.12e-05,0.0003889991,2.933333e-06,20.29568577,20.16922552
1.12e-05,0.0003889991,2.933333e-06,21.44346297,21.3170546
1.12e-05,0.0003889991,2.933333e-06,22.54500957,22.42078747
1.12e-05,0.0003889991,2.933333e-06,23.61873895,23.4969555
1.12e-05,0.0003889991,2.933333e-06,24.67279067,24.55429765
1.12e-05,0.0003889991,2.933333e-06,25.71816438,25.60341536
1.12e-05,0.0003889991,2.933333e-06,26.76583148,26.65521619
1.12e-05,0.0003889991,2.933333e-06,27.82715695,27.72129913
1.12e-05,0.0003889991,2.933333e-06,28.91488791,28.82401491
