a,b,c,d,ugf
1.12e-05,0.0003889991,4e-06,8.53e-05,124828985.1
1.12e-05,0.0003889991,4e-06,8.96e-05,126331518.8
1.12e-05,0.0003889991,5.6e-06,3.84e-05,61245769.52
1.12e-05,0.0003889991,5.6e-06,4.27e-05,76098659.53
1.12e-05,0.0003889991,5.6e-06,4.69e-05,87762927.33
1.12e-05,0.0003889991,5.6e-06,5.12e-05,98590070.0
1.12e-05,0.0003889991,5.6e-06,5.55e-05,106488367.1
1.12e-05,0.0003889991,5.6e-06,5.97e-05,112491187.2
1.12e-05,0.0003889991,5.6e-06,6.4e-05,117147653.9
1.12e-05,0.0003889991,5.6e-06,6.83e-05,120804792.8
1.12e-05,0.0003889991,5.6e-06,7.25e-05,123697504.6
1.12e-05,0.0003889991,5.6e-06,7.68e-05,126085960.9
1.12e-05,0.0003889991,5.6e-06,8.11e-05,129595069.1
1.12e-05,0.0003889991,5.6e-06,8.53e-05,132514626.9
1.12e-05,0.0003889991,5.6e-06,8.96e-05,134932681.1
1.12e-05,0.0003889991,5.066667e-06,3.84e-05,64870240.33
1.12e-05,0.0003889991,5.066667e-06,4.27e-05,79620473.5
1.12e-05,0.0003889991,5.066667e-06,4.69e-05,93000459.09
1.12e-05,0.0003889991,5.066667e-06,5.12e-05,103425148.4
1.12e-05,0.0003889991,5.066667e-06,5.55e-05,111061827.4
1.12e-05,0.0003889991,5.066667e-06,5.97e-05,116859920.0
1.12e-05,0.0003889991,5.066667e-06,6.4e-05,121315863.0
1.12e-05,0.0003889991,5.066667e-06,6.83e-05,124774349.6
1.12e-05,0.0003889991,5.066667e-06,7.25e-05,128765826.7
1.12e-05,0.0003889991,5.066667e-06,7.68e-05,132788553.4
1.12e-05,0.0003889991,5.066667e-06,8.11e-05,136144503.1
1.12e-05,0.0003889991,5.066667e-06,8.53e-05,138940722.6
1.12e-05,0.0003889991,5.066667e-06,8.96e-05,141261146.3
1.12e-05,0.0003889991,5.333333e-06,3.84e-05,66875286.94
1.12e-05,0.0003889991,5.333333e-06,4.27e-05,81560584.2
1.12e-05,0.0003889991,5.333333e-06,4.69e-05,95835039.78
1.12e-05,0.0003889991,5.333333e-06,5.12e-05,106049418.9
1.12e-05,0.0003889991,5.333333e-06,5.55e-05,113552559.5
1.12e-05,0.0003889991,5.333333e-06,5.97e-05,119247483.6
1.12e-05,0.0003889991,5.333333e-06,6.4e-05,123602312.9
1.12e-05,0.0003889991,5.333333e-06,6.83e-05,127752826.9
1.12e-05,0.0003889991,5.333333e-06,7.25e-05,132474574.9
1.12e-05,0.0003889991,5.333333e-06,7.68e-05,136399093.0
1.12e-05,0.0003889991,5.333333e-06,8.11e-05,139674356.2
1.12e-05,0.0003889991,5.333333e-06,8.53e-05,142405303.5
1.12e-05,0.0003889991,5.333333e-06,8.96e-05,144673800.6
1.12e-05,4.48e-05,5.333333e-06,3.84e-05,12892318.25
1.12e-05,4.48e-05,5.333333e-06,4.27e-05,14287911.32
1.12e-05,4.48e-05,5.333333e-06,4.69e-05,15466765.72
1.12e-05,4.48e-05,5.333333e-06,5.12e-05,17290094.59
1.12e-05,4.48e-05,5.333333e-06,5.55e-05,19327806.93
1.12e-05,4.48e-05,5.333333e-06,5.97e-05,21152219.7
1.12e-05,4.48e-05,5.333333e-06,6.4e-05,22790682.83
1.12e-05,4.48e-05,5.333333e-06,6.83e-05,24664000.21
1.12e-05,4.48e-05,5.333333e-06,7.25e-05,27792751.53
1.12e-05,4.48e-05,5.333333e-06,7.68e-05,30673673.72
1.12e-05,4.48e-05,5.333333e-06,8.11e-05,33339331.33
1.12e-05,4.48e-05,5.333333e-06,8.53e-05,35815398.35
1.12e-05,4.48e-05,5.333333e-06,8.96e-05,39921475.41
1.12e-05,4.48e-05,2.4e-06,3.84e-05,12818035.43
1.12e-05,4.48e-05,2.4e-06,4.27e-05,14240596.63
1.12e-05,4.48e-05,2.4e-06,4.69e-05,15442318.56
1.12e-05,4.48e-05,2.4e-06,5.12e-05,17280115.49
1.12e-05,4.48e-05,2.4e-06,5.55e-05,19357974.91
1.12e-05,4.48e-05,2.4e-06,5.97e-05,21216477.73
1.12e-05,4.48e-05,2.4e-06,6.4e-05,22884076.21
1.12e-05,4.48e-05,2.4e-06,6.83e-05,24943784.78
1.12e-05,4.48e-05,2.4e-06,7.25e-05,28135467.96
1.12e-05,4.48e-05,2.4e-06,7.68e-05,31073253.67
1.12e-05,4.48e-05,2.4e-06,8.11e-05,33790514.03
1.12e-05,4.48e-05,2.4e-06,8.53e-05,36319157.56
1.12e-05,4.48e-05,2.4e-06,8.96e-05,40994158.33
1.12e-05,4.48e-05,2.666667e-06,3.84e-05,12608102.96
1.12e-05,4.48e-05,2.666667e-06,4.27e-05,14102554.97
1.12e-05,4.48e-05,2.666667e-06,4.69e-05,15360670.86
1.12e-05,4.48e-05,2.666667e-06,5.12e-05,17212825.88
1.12e-05,4.48e-05,2.666667e-06,5.55e-05,19393650.35
1.12e-05,4.48e-05,2.666667e-06,5.97e-05,21338821.6
1.12e-05,4.48e-05,2.666667e-06,6.4e-05,23086661.14
1.12e-05,4.48e-05,2.666667e-06,6.83e-05,25567275.76
1.12e-05,4.48e-05,2.666667e-06,7.25e-05,28920490.53
1.12e-05,4.48e-05,2.666667e-06,7.68e-05,32003742.14
1.12e-05,4.48e-05,2.666667e-06,8.11e-05,34852727.2
1.12e-05,4.48e-05,2.666667e-06,8.53e-05,38693202.09
1.12e-05,4.48e-05,2.666667e-06,8.96e-05,43582778.76
1.12e-05,4.48e-05,2.933333e-06,3.84e-05,12424916.53
1.12e-05,4.48e-05,2.933333e-06,4.27e-05,13976097.29
1.12e-05,4.48e-05,2.933333e-06,4.69e-05,15284565.81
1.12e-05,4.48e-05,2.933333e-06,5.12e-05,17126370.91
1.12e-05,4.48e-05,2.933333e-06,5.55e-05,19388395.49
1.12e-05,4.48e-05,2.933333e-06,5.97e-05,21403686.34
1.12e-05,4.48e-05,2.933333e-06,6.4e-05,23213309.59
1.12e-05,4.48e-05,2.933333e-06,6.83e-05,25997941.93
1.12e-05,4.48e-05,2.933333e-06,7.25e-05,29482454.1
1.12e-05,4.48e-05,2.933333e-06,7.68e-05,32683357.8
1.12e-05,4.48e-05,2.933333e-06,8.11e-05,35638633.25
1.12e-05,4.48e-05,2.933333e-06,8.53e-05,40472986.7
1.12e-05,4.48e-05,2.933333e-06,8.96e-05,45541634.03
1.12e-05,4.48e-05,3.2e-06,3.84e-05,12169931.2
1.12e-05,4.48e-05,3.2e-06,4.27e-05,13798961.28
1.12e-05,4.48e-05,3.2e-06,4.69e-05,15167391.49
1.12e-05,4.48e-05,3.2e-06,5.12e-05,16978634.37
1.12e-05,4.48e-05,3.2e-06,5.55e-05,19348795.02
1.12e-05,4.48e-05,3.2e-06,5.97e-05,21457193.39
