a,b,c,d,gain
1.12e-05,0.0003889991,5.066667e-06,5.12e-05,50.11932299
1.12e-05,0.0003889991,5.066667e-06,5.55e-05,52.15159652
1.12e-05,0.0003889991,5.066667e-06,5.97e-05,53.41082583
1.12e-05,0.0003889991,5.066667e-06,6.4e-05,54.18569396
1.12e-05,0.0003889991,5.066667e-06,6.83e-05,54.66731906
1.12e-05,0.0003889991,5.066667e-06,7.25e-05,54.96884328
1.12e-05,0.0003889991,5.066667e-06,7.68e-05,55.15450959
1.12e-05,0.0003889991,5.066667e-06,8.11e-05,55.26063985
1.12e-05,0.0003889991,5.066667e-06,8.53e-05,55.30789276
1.12e-05,0.0003889991,5.066667e-06,8.96e-05,55.30791253
1.12e-05,0.0003889991,5.333333e-06,3.84e-05,36.39947016
1.12e-05,0.0003889991,5.333333e-06,4.27e-05,41.89140754
1.12e-05,0.0003889991,5.333333e-06,4.69e-05,46.90623189
1.12e-05,0.0003889991,5.333333e-06,5.12e-05,50.11662262
1.12e-05,0.0003889991,5.333333e-06,5.55e-05,52.10361212
1.12e-05,0.0003889991,5.333333e-06,5.97e-05,53.33128252
1.12e-05,0.0003889991,5.333333e-06,6.4e-05,54.08828892
1.12e-05,0.0003889991,5.333333e-06,6.83e-05,54.56134718
1.12e-05,0.0003889991,5.333333e-06,7.25e-05,54.85996935
1.12e-05,0.0003889991,5.333333e-06,7.68e-05,55.04615322
1.12e-05,0.0003889991,5.333333e-06,8.11e-05,55.15498046
1.12e-05,0.0003889991,5.333333e-06,8.53e-05,55.20647141
1.12e-05,0.0003889991,5.333333e-06,8.96e-05,55.21198191
1.12e-05,4.48e-05,5.333333e-06,3.84e-05,19.17384111
1.12e-05,4.48e-05,5.333333e-06,4.27e-05,20.45067537
1.12e-05,4.48e-05,5.333333e-06,4.69e-05,21.64227284
1.12e-05,4.48e-05,5.333333e-06,5.12e-05,22.77052671
1.12e-05,4.48e-05,5.333333e-06,5.55e-05,23.84968759
1.12e-05,4.48e-05,5.333333e-06,5.97e-05,24.89812126
1.12e-05,4.48e-05,5.333333e-06,6.4e-05,25.91945868
1.12e-05,4.48e-05,5.333333e-06,6.83e-05,26.93380747
1.12e-05,4.48e-05,5.333333e-06,7.25e-05,27.94272691
1.12e-05,4.48e-05,5.333333e-06,7.68e-05,28.95885661
1.12e-05,4.48e-05,5.333333e-06,8.11e-05,29.99260063
1.12e-05,4.48e-05,5.333333e-06,8.53e-05,31.0541777
1.12e-05,4.48e-05,5.333333e-06,8.96e-05,32.158415
1.12e-05,4.48e-05,2.4e-06,3.84e-05,18.92397846
1.12e-05,4.48e-05,2.4e-06,4.27e-05,20.20152828
1.12e-05,4.48e-05,2.4e-06,4.69e-05,21.39577913
1.12e-05,4.48e-05,2.4e-06,5.12e-05,22.52752483
1.12e-05,4.48e-05,2.4e-06,5.55e-05,23.61082145
1.12e-05,4.48e-05,2.4e-06,5.97e-05,24.66347308
1.12e-05,4.48e-05,2.4e-06,6.4e-05,25.68930535
1.12e-05,4.48e-05,2.4e-06,6.83e-05,26.71060382
1.12e-05,4.48e-05,2.4e-06,7.25e-05,27.72673756
1.12e-05,4.48e-05,2.4e-06,7.68e-05,28.75134888
1.12e-05,4.48e-05,2.4e-06,8.11e-05,29.79516996
1.12e-05,4.48e-05,2.4e-06,8.53e-05,30.8688014
1.12e-05,4.48e-05,2.4e-06,8.96e-05,31.98657731
1.12e-05,4.48e-05,2.666667e-06,3.84e-05,18.31406557
1.12e-05,4.48e-05,2.666667e-06,4.27e-05,19.59739224
1.12e-05,4.48e-05,2.666667e-06,4.69e-05,20.79664748
1.12e-05,4.48e-05,2.666667e-06,5.12e-05,21.93908808
1.12e-05,4.48e-05,2.666667e-06,5.55e-05,23.03368008
1.12e-05,4.48e-05,2.666667e-06,5.97e-05,24.09728172
1.12e-05,4.48e-05,2.666667e-06,6.4e-05,25.14028436
1.12e-05,4.48e-05,2.666667e-06,6.83e-05,26.17386534
1.12e-05,4.48e-05,2.666667e-06,7.25e-05,27.20840883
1.12e-05,4.48e-05,2.666667e-06,7.68e-05,28.2545272
1.12e-05,4.48e-05,2.666667e-06,8.11e-05,29.32390781
1.12e-05,4.48e-05,2.666667e-06,8.53e-05,30.42931261
1.12e-05,4.48e-05,2.666667e-06,8.96e-05,31.59049025
1.12e-05,4.48e-05,2.933333e-06,3.84e-05,17.84942096
1.12e-05,4.48e-05,2.933333e-06,4.27e-05,19.13675574
1.12e-05,4.48e-05,2.933333e-06,4.69e-05,20.34622163
1.12e-05,4.48e-05,2.933333e-06,5.12e-05,21.49343938
1.12e-05,4.48e-05,2.933333e-06,5.55e-05,22.59611475
1.12e-05,4.48e-05,2.933333e-06,5.97e-05,23.66890897
1.12e-05,4.48e-05,2.933333e-06,6.4e-05,24.72306042
1.12e-05,4.48e-05,2.933333e-06,6.83e-05,25.76960725
1.12e-05,4.48e-05,2.933333e-06,7.25e-05,26.81896357
1.12e-05,4.48e-05,2.933333e-06,7.68e-05,27.8821991
1.12e-05,4.48e-05,2.933333e-06,8.11e-05,28.97193583
1.12e-05,4.48e-05,2.933333e-06,8.53e-05,30.10243105
1.12e-05,4.48e-05,2.933333e-06,8.96e-05,31.29825695
1.12e-05,4.48e-05,3.2e-06,3.84e-05,17.26749906
1.12e-05,4.48e-05,3.2e-06,4.27e-05,18.56375101
1.12e-05,4.48e-05,3.2e-06,4.69e-05,19.7797299
1.12e-05,4.48e-05,3.2e-06,5.12e-05,20.93669968
1.12e-05,4.48e-05,3.2e-06,5.55e-05,22.05079951
1.12e-05,4.48e-05,3.2e-06,5.97e-05,23.13629721
1.12e-05,4.48e-05,3.2e-06,6.4e-05,24.20544587
