a,b,c,d,gain
1.12e-05,0.000132012,5.6e-06,6.4e-05,54.49858427
1.12e-05,0.000132012,5.6e-06,6.83e-05,54.99757077
1.12e-05,0.000132012,5.6e-06,7.25e-05,55.30343871
1.12e-05,0.000132012,5.6e-06,7.68e-05,55.48553673
1.12e-05,0.000132012,5.6e-06,8.11e-05,55.5829767
1.12e-05,0.000132012,5.6e-06,8.53e-05,55.61780195
1.12e-05,0.000132012,5.6e-06,8.96e-05,55.6022154
1.12e-05,0.000132012,5.6e-06,3.84e-05,36.70432495
1.12e-05,0.000132012,5.6e-06,4.27e-05,41.94359765
1.12e-05,0.000132012,5.6e-06,4.69e-05,46.91292972
1.12e-05,0.000132012,5.6e-06,5.12e-05,50.23117151
1.12e-05,0.000132012,5.6e-06,5.55e-05,52.32880733
1.12e-05,0.000132012,5.6e-06,5.97e-05,53.6342512
1.12e-05,0.000132012,5.6e-06,6.4e-05,54.43462645
1.12e-05,0.000132012,5.6e-06,6.83e-05,54.92729103
1.12e-05,0.000132012,5.6e-06,7.25e-05,55.23097945
1.12e-05,0.000132012,5.6e-06,7.68e-05,55.41340831
1.12e-05,0.000132012,5.6e-06,8.11e-05,55.5127831
1.12e-05,0.000132012,5.6e-06,8.53e-05,55.55068482
1.12e-05,0.000132012,5.6e-06,8.96e-05,55.5391147
1.12e-05,0.000132012,5.066667e-06,3.84e-05,36.62117701
1.12e-05,0.000132012,5.066667e-06,4.27e-05,41.98325358
1.12e-05,0.000132012,5.066667e-06,4.69e-05,46.97024383
1.12e-05,0.000132012,5.066667e-06,5.12e-05,50.23279274
1.12e-05,0.000132012,5.066667e-06,5.55e-05,52.27503126
1.12e-05,0.000132012,5.066667e-06,5.97e-05,53.54084485
1.12e-05,0.000132012,5.066667e-06,6.4e-05,54.31852191
1.12e-05,0.000132012,5.066667e-06,6.83e-05,54.80023672
1.12e-05,0.000132012,5.066667e-06,7.25e-05,55.10019051
1.12e-05,0.000132012,5.066667e-06,7.68e-05,55.28324972
1.12e-05,0.000132012,5.066667e-06,8.11e-05,55.38604217
1.12e-05,0.000132012,5.066667e-06,8.53e-05,55.4293424
1.12e-05,0.000132012,5.066667e-06,8.96e-05,55.42479611
1.12e-05,0.000132012,5.066667e-06,3.84e-05,36.58617462
1.12e-05,0.000132012,5.066667e-06,4.27e-05,42.00357706
1.12e-05,0.000132012,5.066667e-06,4.69e-05,46.99589072
1.12e-05,0.000132012,5.066667e-06,5.12e-05,50.23232554
1.12e-05,0.000132012,5.066667e-06,5.55e-05,52.24958306
1.12e-05,0.000132012,5.066667e-06,5.97e-05,53.49785193
1.12e-05,0.000132012,5.066667e-06,6.4e-05,54.26555914
1.12e-05,0.000132012,5.066667e-06,6.83e-05,54.74248985
1.12e-05,0.000132012,5.066667e-06,7.25e-05,55.04082737
1.12e-05,0.000132012,5.066667e-06,7.68e-05,55.22418413
1.12e-05,0.000132012,5.066667e-06,8.11e-05,55.32849565
1.12e-05,0.000132012,5.066667e-06,8.53e-05,55.37418179
1.12e-05,0.000132012,5.066667e-06,8.96e-05,55.37273036
1.12e-05,0.000132012,5.333333e-06,3.84e-05,36.49498907
1.12e-05,0.000132012,5.333333e-06,4.27e-05,42.08326684
1.12e-05,0.000132012,5.333333e-06,4.69e-05,47.08238729
1.12e-05,0.000132012,5.333333e-06,5.12e-05,50.22484396
1.12e-05,0.000132012,5.333333e-06,5.55e-05,52.15642725
1.12e-05,0.000132012,5.333333e-06,5.97e-05,53.34591156
1.12e-05,0.000132012,5.333333e-06,6.4e-05,54.08054899
1.12e-05,0.000132012,5.333333e-06,6.83e-05,54.54171532
1.12e-05,0.000132012,5.333333e-06,7.25e-05,54.83479149
1.12e-05,0.000132012,5.333333e-06,7.68e-05,55.01922259
1.12e-05,0.000132012,5.333333e-06,8.11e-05,55.12865046
1.12e-05,0.000132012,5.333333e-06,8.53e-05,55.1823159
1.12e-05,0.000132012,5.333333e-06,8.96e-05,55.19117462
1.12e-05,0.000132012,5.333333e-06,3.84e-05,36.52569087
1.12e-05,0.000132012,5.333333e-06,4.27e-05,42.04403548
1.12e-05,0.000132012,5.333333e-06,4.69e-05,47.04206418
1.12e-05,0.000132012,5.333333e-06,5.12e-05,50.22951697
1.12e-05,0.000132012,5.333333e-06,5.55e-05,52.20136382
1.12e-05,0.000132012,5.333333e-06,5.97e-05,53.41821844
1.12e-05,0.000132012,5.333333e-06,6.4e-05,54.16819045
1.12e-05,0.000132012,5.333333e-06,6.83e-05,54.63664729
1.12e-05,0.000132012,5.333333e-06,7.25e-05,54.93214442
1.12e-05,0.000132012,5.333333e-06,7.68e-05,55.11606072
1.12e-05,0.000132012,5.333333e-06,8.11e-05,55.22310115
1.12e-05,0.000132012,5.333333e-06,8.53e-05,55.27305381
1.12e-05,0.000132012,5.333333e-06,8.96e-05,55.27712278
1.12e-05,0.0003889991,2.4e-06,3.84e-05,19.12875418
1.12e-05,0.0003889991,2.4e-06,4.27e-05,20.40463815
1.12e-05,0.0003889991,2.4e-06,4.69e-05,21.59589511
1.12e-05,0.0003889991,2.4e-06,5.12e-05,22.72365924
1.12e-05,0.0003889991,2.4e-06,5.55e-05,23.80413583
1.12e-05,0.0003889991,2.4e-06,5.97e-05,24.84993142
1.12e-05,0.0003889991,2.4e-06,6.4e-05,25.87377201
1.12e-05,0.0003889991,2.4e-06,6.83e-05,26.88459784
1.12e-05,0.0003889991,2.4e-06,7.25e-05,27.89262905
1.12e-05,0.0003889991,2.4e-06,7.68e-05,28.90770396
1.12e-05,0.0003889991,2.4e-06,8.11e-05,29.94021663
1.12e-05,0.0003889991,2.4e-06,8.53e-05,31.00009495
1.12e-05,0.0003889991,2.4e-06,8.96e-05,32.10389774
1.12e-05,0.0003889991,2.4e-06,3.84e-05,18.8763745
1.12e-05,0.0003889991,2.4e-06,4.27e-05,20.15529485
1.12e-05,0.0003889991,2.4e-06,4.69e-05,21.34935381
1.12e-05,0.0003889991,2.4e-06,5.12e-05,22.48041723
1.12e-05,0.0003889991,2.4e-06,5.55e-05,23.56472756
1.12e-05,0.0003889991,2.4e-06,5.97e-05,24.6149257
1.12e-05,0.0003889991,2.4e-06,6.4e-05,25.64409893
1.12e-05,0.0003889991,2.4e-06,6.83e-05,26.66104874
1.12e-05,0.0003889991,2.4e-06,7.25e-05,27.67622175
1.12e-05,0.0003889991,2.4e-06,7.68e-05,28.69968942
1.12e-05,0.0003889991,2.4e-06,8.11e-05,29.74218811
1.12e-05,0.0003889991,2.4e-06,8.53e-05,30.81337786
1.12e-05,0.0003889991,2.4e-06,8.96e-05,31.93190331
1.12e-05,0.0003889991,2.666667e-06,3.84e-05,18.45120729
1.12e-05,0.0003889991,2.666667e-06,4.27e-05,19.73263787
1.12e-05,0.0003889991,2.666667e-06,4.69e-05,20.93166687
1.12e-05,0.0003889991,2.666667e-06,5.12e-05,22.06875133
1.12e-05,0.0003889991,2.666667e-06,5.55e-05,23.15991807
1.12e-05,0.0003889991,2.666667e-06,5.97e-05,24.21797831
1.12e-05,0.0003889991,2.666667e-06,6.4e-05,25.25662584
1.12e-05,0.0003889991,2.666667e-06,6.83e-05,26.28442293
1.12e-05,0.0003889991,2.666667e-06,7.25e-05,27.31214754
1.12e-05,0.0003889991,2.666667e-06,7.68e-05,28.35032286
1.12e-05,0.0003889991,2.666667e-06,8.11e-05,29.41031068
1.12e-05,0.0003889991,2.666667e-06,8.53e-05,30.50279639
1.12e-05,0.0003889991,2.666667e-06,8.96e-05,31.6447867
1.12e-05,0.0003889991,2.666667e-06,3.84e-05,18.26753876
1.12e-05,0.0003889991,2.666667e-06,4.27e-05,19.55081398
1.12e-05,0.0003889991,2.666667e-06,4.69e-05,20.751949
1.12e-05,0.0003889991,2.666667e-06,5.12e-05,21.89194088
1.12e-05,0.0003889991,2.666667e-06,5.55e-05,22.98619924
1.12e-05,0.0003889991,2.666667e-06,5.97e-05,24.04781074
1.12e-05,0.0003889991,2.666667e-06,6.4e-05,25.09069906
1.12e-05,0.0003889991,2.666667e-06,6.83e-05,26.12334128
1.12e-05,0.0003889991,2.666667e-06,7.25e-05,27.15663164
1.12e-05,0.0003889991,2.666667e-06,7.68e-05,28.20129617
1.12e-05,0.0003889991,2.666667e-06,8.11e-05,29.26902616
1.12e-05,0.0003889991,2.666667e-06,8.53e-05,30.3713072
1.12e-05,0.0003889991,2.666667e-06,8.96e-05,31.53316181
1.12e-05,0.0003889991,2.933333e-06,3.84e-05,17.54627867
1.12e-05,0.0003889991,2.933333e-06,4.27e-05,18.83647073
