PMOS_W,NMOS_W,Gain
5.5e-06,1.1e-05,-12.39
6e-06,1.1e-05,-11.39
2e-06,1.1e-05,-22.48
6.5e-06,1.1e-05,-10.46
7e-06,1.1e-05,-9.559
7.5e-06,1.1e-05,-8.695
1.5e-06,1.1e-05,-25.13
8e-06,1.1e-05,-7.856
8.5e-06,1.1e-05,-7.037
9e-06,1.1e-05,-6.233
9.5e-06,1.1e-05,-5.439
1.05e-05,1.1e-05,-5.023
1e-05,1.1e-05,-4.662
1.1e-05,1.1e-05,-4.304
1.15e-05,1.1e-05,-3.572
1.2e-05,1.1e-05,-2.837
1.25e-05,1.1e-05,-2.097
1e-06,1.1e-05,-28.79
1.3e-05,1.1e-05,-1.347
1.35e-05,1.1e-05,-0.584
1.4e-05,1.1e-05,0.198
1.45e-05,1.1e-05,1.001
1.5e-05,1.1e-05,1.832
1.55e-05,1.1e-05,2.695
1.6e-05,1.1e-05,3.594
1.65e-05,1.1e-05,4.536
1.7e-05,1.1e-05,5.524
1.75e-05,1.1e-05,6.559
1.8e-05,1.1e-05,7.641
1.85e-05,1.1e-05,8.76
1.9e-05,1.1e-05,9.896
1.95e-05,1.1e-05,11.02
2e-05,1.1e-05,12.08
3.5e-06,1.15e-05,-17.56
4e-06,1.15e-05,-16.22
4.5e-06,1.15e-05,-15.01
3e-06,1.15e-05,-19.07
5e-06,1.15e-05,-13.9
2.5e-06,1.15e-05,-20.8
5.5e-06,1.15e-05,-12.87
6e-06,1.15e-05,-11.88
