W,X,Y,UGF
4.98E-05,5.24E-06,9.07E-06,152001165.9
4.98E-05,5.24E-06,9.78E-06,152991823.9
5.55E-05,2.40E-06,1.12E-05,141522799.1
5.55E-05,2.40E-06,1.05E-05,140613473.9
5.55E-05,2.40E-06,4.80E-06,126356389
5.55E-05,2.40E-06,5.51E-06,129225466
5.55E-05,2.40E-06,6.22E-06,131506233.6
5.55E-05,2.40E-06,6.93E-06,133367770.3
5.55E-05,2.40E-06,7.64E-06,134918861.9
5.55E-05,2.40E-06,8.36E-06,136232872.5
5.55E-05,2.40E-06,9.07E-06,137361193.6
5.55E-05,2.40E-06,9.78E-06,138340972
5.55E-05,2.76E-06,1.12E-05,144989753.3
5.55E-05,2.76E-06,1.05E-05,144097004.6
5.55E-05,2.76E-06,4.80E-06,129980137.4
5.55E-05,2.76E-06,5.51E-06,132817561.2
5.55E-05,2.76E-06,6.22E-06,135071818.8
5.55E-05,2.76E-06,6.93E-06,136910607.3
5.55E-05,2.76E-06,7.64E-06,138441804.4
5.55E-05,2.76E-06,8.36E-06,139738150.4
5.55E-05,2.76E-06,9.07E-06,140850592.9
5.55E-05,2.76E-06,9.78E-06,141815952.8
5.55E-05,3.11E-06,1.12E-05,147899339.5
5.55E-05,3.11E-06,1.05E-05,147020064.5
5.55E-05,3.11E-06,4.80E-06,133015034.3
5.55E-05,3.11E-06,5.51E-06,135827569
5.55E-05,3.11E-06,6.22E-06,138060887.5
5.55E-05,3.11E-06,6.93E-06,139881632
5.55E-05,3.11E-06,7.64E-06,141396985.2
5.55E-05,3.11E-06,8.36E-06,142679209.2
5.55E-05,3.11E-06,9.07E-06,143778910.7
5.55E-05,3.11E-06,9.78E-06,144732660.5
5.55E-05,3.47E-06,1.12E-05,150396194
5.55E-05,3.47E-06,1.05E-05,149528123.5
5.55E-05,3.47E-06,4.80E-06,135613594.8
5.55E-05,3.47E-06,5.51E-06,138406094.9
5.55E-05,3.47E-06,6.22E-06,140622481.7
5.55E-05,3.47E-06,6.93E-06,142428574
5.55E-05,3.47E-06,7.64E-06,143931010.5
5.55E-05,3.47E-06,8.36E-06,145201678.4
5.55E-05,3.47E-06,9.07E-06,146290916.8
5.55E-05,3.47E-06,9.78E-06,147235099.6
5.55E-05,3.82E-06,1.12E-05,152576382.1
5.55E-05,3.82E-06,1.05E-05,151717804.9
5.55E-05,3.82E-06,4.80E-06,137877553.3
5.55E-05,3.82E-06,5.51E-06,140653615.2
