W,X,Y,Phase Margin 
5.55E-05,3.11E-06,1.05E-05,56.92525971
5.55E-05,3.11E-06,4.80E-06,61.88958111
5.55E-05,3.11E-06,5.51E-06,61.08125221
5.55E-05,3.11E-06,6.22E-06,60.37537036
5.55E-05,3.11E-06,6.93E-06,59.7469905
5.55E-05,3.11E-06,7.64E-06,59.17895126
5.55E-05,3.11E-06,8.36E-06,58.65902152
5.55E-05,3.11E-06,9.07E-06,58.17822575
5.55E-05,3.11E-06,9.78E-06,57.72981366
5.55E-05,3.47E-06,1.12E-05,56.30273719
5.55E-05,3.47E-06,1.05E-05,56.76038097
5.55E-05,3.47E-06,4.80E-06,61.94674228
5.55E-05,3.47E-06,5.51E-06,61.10154844
5.55E-05,3.47E-06,6.22E-06,60.36450114
5.55E-05,3.47E-06,6.93E-06,59.70927676
5.55E-05,3.47E-06,7.64E-06,59.11775884
5.55E-05,3.47E-06,8.36E-06,58.57703205
5.55E-05,3.47E-06,9.07E-06,58.0776168
5.55E-05,3.47E-06,9.78E-06,57.61238263
5.55E-05,3.82E-06,1.12E-05,56.11299625
5.55E-05,3.82E-06,1.05E-05,56.58566603
5.55E-05,3.82E-06,4.80E-06,61.97404524
5.55E-05,3.82E-06,5.51E-06,61.09492514
5.55E-05,3.82E-06,6.22E-06,60.32922017
5.55E-05,3.82E-06,6.93E-06,59.6493301
5.55E-05,3.82E-06,7.64E-06,59.03625424
5.55E-05,3.82E-06,8.36E-06,58.47644395
5.55E-05,3.82E-06,9.07E-06,57.95995329
5.55E-05,3.82E-06,9.78E-06,57.47930018
5.55E-05,4.18E-06,1.12E-05,55.91845403
5.55E-05,4.18E-06,1.05E-05,56.40490882
5.55E-05,4.18E-06,4.80E-06,61.97889817
5.55E-05,4.18E-06,5.51E-06,61.06835389
5.55E-05,4.18E-06,6.22E-06,60.27612525
5.55E-05,4.18E-06,6.93E-06,59.57342246
5.55E-05,4.18E-06,7.64E-06,58.94042113
5.55E-05,4.18E-06,8.36E-06,58.3629829
5.55E-05,4.18E-06,9.07E-06,57.83072772
5.55E-05,4.18E-06,9.78E-06,57.33584632
5.55E-05,4.53E-06,1.12E-05,55.72166416
5.55E-05,4.53E-06,1.05E-05,56.22084471
5.55E-05,4.53E-06,4.80E-06,61.96662949
5.55E-05,4.53E-06,5.51E-06,61.0268236
5.55E-05,4.53E-06,6.22E-06,60.2099151
5.55E-05,4.53E-06,6.93E-06,59.48600002
5.55E-05,4.53E-06,7.64E-06,58.83448275
5.55E-05,4.53E-06,8.36E-06,58.24067292
5.55E-05,4.53E-06,9.07E-06,57.69378431
5.55E-05,4.53E-06,9.78E-06,57.18570162
5.55E-05,4.89E-06,1.12E-05,55.52445234
5.55E-05,4.89E-06,1.05E-05,56.03544081
5.55E-05,4.89E-06,4.80E-06,61.94115412
5.55E-05,4.89E-06,5.51E-06,60.97397819
5.55E-05,4.89E-06,6.22E-06,60.13400228
5.55E-05,4.89E-06,6.93E-06,59.39027424
5.55E-05,4.89E-06,7.64E-06,58.72147312
5.55E-05,4.89E-06,8.36E-06,58.11238966
5.55E-05,4.89E-06,9.07E-06,57.55185591
5.55E-05,4.89E-06,9.78E-06,57.03146913
5.55E-05,5.60E-06,1.12E-05,55.48424965
5.55E-05,5.60E-06,1.05E-05,55.87113561
5.55E-05,5.60E-06,4.80E-06,61.86160152
5.55E-05,5.60E-06,5.51E-06,60.84451507
5.55E-05,5.60E-06,6.22E-06,59.96252069
5.55E-05,5.60E-06,6.93E-06,59.18273829
5.55E-05,5.60E-06,7.64E-06,58.48251366
5.55E-05,5.60E-06,8.36E-06,57.84568425
5.55E-05,5.60E-06,9.07E-06,57.26038131
5.55E-05,5.60E-06,9.78E-06,56.71767465
5.55E-05,5.24E-06,1.12E-05,55.45244764
5.55E-05,5.24E-06,1.05E-05,55.8501104
5.55E-05,5.24E-06,4.80E-06,61.90540205
5.55E-05,5.24E-06,5.51E-06,60.91252686
5.55E-05,5.24E-06,6.22E-06,60.05090763
5.55E-05,5.24E-06,6.93E-06,59.2886023
5.55E-05,5.24E-06,7.64E-06,58.60360518
5.55E-05,5.24E-06,8.36E-06,57.98021734
5.55E-05,5.24E-06,9.07E-06,57.40691078
5.55E-05,5.24E-06,9.78E-06,56.87501171
6.12E-05,2.40E-06,1.12E-05,58.76400516
6.12E-05,2.40E-06,1.05E-05,59.09690077
6.12E-05,2.40E-06,4.80E-06,61.272847
6.12E-05,2.40E-06,5.51E-06,60.64218175
6.12E-05,2.40E-06,6.22E-06,60.09309645
6.12E-05,2.40E-06,6.93E-06,59.60516036
6.12E-05,2.40E-06,7.64E-06,59.16441661
6.12E-05,2.40E-06,8.36E-06,58.76098566
6.12E-05,2.40E-06,9.07E-06,58.38766579
6.12E-05,2.40E-06,9.78E-06,58.03907601
6.12E-05,2.76E-06,1.12E-05,57.61655526
6.12E-05,2.76E-06,1.05E-05,57.98267464
6.12E-05,2.76E-06,4.80E-06,60.95368239
6.12E-05,2.76E-06,5.51E-06,60.25324605
6.12E-05,2.76E-06,6.22E-06,59.64394986
6.12E-05,2.76E-06,6.93E-06,59.10319488
6.12E-05,2.76E-06,7.64E-06,58.61549997
6.12E-05,2.76E-06,8.36E-06,58.16987757
6.12E-05,2.76E-06,9.07E-06,57.75829789
6.12E-05,2.76E-06,9.78E-06,57.37474646
6.12E-05,3.11E-06,1.12E-05,56.74174888
6.12E-05,3.11E-06,1.05E-05,57.13655957
6.12E-05,3.11E-06,4.80E-06,60.73274154
6.12E-05,3.11E-06,5.51E-06,59.97443868
6.12E-05,3.11E-06,6.22E-06,59.315328
6.12E-05,3.11E-06,6.93E-06,58.73095956
6.12E-05,3.11E-06,7.64E-06,58.20455552
6.12E-05,3.11E-06,8.36E-06,57.72418897
6.12E-05,3.11E-06,9.07E-06,57.28113039
6.12E-05,3.11E-06,9.78E-06,56.86883168
6.12E-05,3.47E-06,1.12E-05,56.05081003
6.12E-05,3.47E-06,1.05E-05,56.47036581
6.12E-05,3.47E-06,4.80E-06,60.56601891
6.12E-05,3.47E-06,5.51E-06,59.75842341
6.12E-05,3.47E-06,6.22E-06,59.05701151
6.12E-05,3.47E-06,6.93E-06,58.43570585
6.12E-05,3.47E-06,7.64E-06,57.87659195
6.12E-05,3.47E-06,8.36E-06,57.36692189
6.12E-05,3.47E-06,9.07E-06,56.89735636
6.12E-05,3.47E-06,9.78E-06,56.46088353
6.12E-05,3.82E-06,1.12E-05,55.48552136
6.12E-05,3.82E-06,1.05E-05,55.92655848
6.12E-05,3.82E-06,4.80E-06,60.42949625
6.12E-05,3.82E-06,5.51E-06,59.57893418
6.12E-05,3.82E-06,6.22E-06,58.84076815
6.12E-05,3.82E-06,6.93E-06,58.18745919
6.12E-05,3.82E-06,7.64E-06,57.60007443
6.12E-05,3.82E-06,8.36E-06,57.06513215
6.12E-05,3.82E-06,9.07E-06,56.57274933
6.12E-05,3.82E-06,9.78E-06,56.11550161
6.12E-05,4.18E-06,1.12E-05,55.00785948
6.12E-05,4.18E-06,1.05E-05,55.46772788
6.12E-05,4.18E-06,4.80E-06,60.30991898
6.12E-05,4.18E-06,5.51E-06,59.42119539
6.12E-05,4.18E-06,6.22E-06,58.65048416
6.12E-05,4.18E-06,6.93E-06,57.96891319
6.12E-05,4.18E-06,7.64E-06,57.35662255
6.12E-05,4.18E-06,8.36E-06,56.79946384
6.12E-05,4.18E-06,9.07E-06,56.28706098
6.12E-05,4.18E-06,9.78E-06,55.81161628
6.12E-05,4.53E-06,1.12E-05,54.59280665
6.12E-05,4.53E-06,1.05E-05,55.06935899
6.12E-05,4.53E-06,4.80E-06,60.19989866
6.12E-05,4.53E-06,5.51E-06,59.27677129
6.12E-05,4.53E-06,6.22E-06,58.47679976
6.12E-05,4.53E-06,6.93E-06,57.76988209
6.12E-05,4.53E-06,7.64E-06,57.13530443
6.12E-05,4.53E-06,8.36E-06,56.55830526
6.12E-05,4.53E-06,9.07E-06,56.02805582
6.12E-05,4.53E-06,9.78E-06,55.53641617
6.12E-05,4.89E-06,1.12E-05,54.25201745
6.12E-05,4.89E-06,1.05E-05,54.71516593
6.12E-05,4.89E-06,4.80E-06,60.09529338
6.12E-05,4.89E-06,5.51E-06,59.14078148
6.12E-05,4.89E-06,6.22E-06,58.31418245
6.12E-05,4.89E-06,6.93E-06,57.58424978
6.12E-05,4.89E-06,7.64E-06,56.92947604
6.12E-05,4.89E-06,8.36E-06,56.3345307
6.12E-05,4.89E-06,9.07E-06,55.78816541
6.12E-05,4.89E-06,9.78E-06,55.28192343
6.12E-05,5.60E-06,1.12E-05,54.1387332
6.12E-05,5.60E-06,1.05E-05,54.50402635
6.12E-05,5.60E-06,4.80E-06,59.89409151
6.12E-05,5.60E-06,5.51E-06,58.88386794
6.12E-05,5.60E-06,6.22E-06,58.01014702
6.12E-05,5.60E-06,6.93E-06,57.23960012
6.12E-05,5.60E-06,7.64E-06,56.54927844
6.12E-05,5.60E-06,8.36E-06,55.92281962
6.12E-05,5.60E-06,9.07E-06,55.34821572
6.12E-05,5.60E-06,9.78E-06,54.86372785
6.12E-05,5.24E-06,1.12E-05,54.19086715
6.12E-05,5.24E-06,1.05E-05,54.54832
6.12E-05,5.24E-06,4.80E-06,59.99378482
6.12E-05,5.24E-06,5.51E-06,59.0103732
6.12E-05,5.24E-06,6.22E-06,58.15930769
6.12E-05,5.24E-06,6.93E-06,57.40826958
6.12E-05,5.24E-06,7.64E-06,56.7350088
6.12E-05,5.24E-06,8.36E-06,56.12366295
6.12E-05,5.24E-06,9.07E-06,55.56259195
6.12E-05,5.24E-06,9.78E-06,55.04304362
6.68E-05,2.40E-06,1.12E-05,71.34410436
6.68E-05,2.40E-06,1.05E-05,71.74319861
6.68E-05,2.40E-06,4.80E-06,71.38984082
6.68E-05,2.40E-06,5.51E-06,70.89798159
6.68E-05,2.40E-06,6.22E-06,70.45745289
6.68E-05,2.40E-06,6.93E-06,70.05624519
6.68E-05,2.40E-06,7.64E-06,69.68597676
6.68E-05,2.40E-06,8.36E-06,69.34060796
6.68E-05,2.40E-06,9.07E-06,69.01566984
6.68E-05,2.40E-06,9.78E-06,68.70778051
6.68E-05,2.76E-06,1.12E-05,68.86142113
6.68E-05,2.76E-06,1.05E-05,69.2715987
6.68E-05,2.76E-06,4.80E-06,69.16467807
6.68E-05,2.76E-06,5.51E-06,68.6313492
6.68E-05,2.76E-06,6.22E-06,68.1575523
