a,b,c,d,gain,pm,ugf
1.12e-05,0.0003889991,3.733333e-06,5.97e-05,12.7350831,84.84130626,6.582343708
1.12e-05,0.0003889991,3.733333e-06,6.4e-05,13.45955139,83.95259816,6.930894335
1.12e-05,0.0003889991,3.733333e-06,6.83e-05,14.14166172,83.82171924,7.56983124
1.12e-05,0.0003889991,3.733333e-06,7.25e-05,14.78721977,83.68801712,8.134681928000001
1.12e-05,0.0003889991,3.733333e-06,7.68e-05,15.400743,83.55115547,8.638780814999999
1.12e-05,0.0003889991,3.733333e-06,8.11e-05,15.98608626,83.41131743,9.092287282
1.12e-05,0.0003889991,3.733333e-06,8.53e-05,16.54649286,83.26917999,9.503059449999999
1.12e-05,0.0003889991,3.733333e-06,8.96e-05,17.08472007,83.1256544,9.877300976999999
1.12e-05,0.0003889991,4.8e-06,3.84e-05,7.218079074,98.59238096,3.797232465
1.12e-05,0.0003889991,4.8e-06,4.27e-05,8.307223505,95.36528715,4.279078606
1.12e-05,0.0003889991,4.8e-06,4.69e-05,9.293887457,92.8346616,4.750851256
1.12e-05,0.0003889991,4.8e-06,5.12e-05,10.19634979,91.6569821,5.36433487
1.12e-05,0.0003889991,4.8e-06,5.55e-05,11.02975682,90.55248151,5.876288821999999
1.12e-05,0.0003889991,4.8e-06,5.97e-05,11.80538756,89.50760153,6.311430719
1.12e-05,0.0003889991,4.8e-06,6.4e-05,12.53184354,88.5141036,6.686548275000001
1.12e-05,0.0003889991,4.8e-06,6.83e-05,13.2154938,87.79864804,7.120476925
1.12e-05,0.0003889991,4.8e-06,7.25e-05,13.86367142,87.61726655,7.734375306
1.12e-05,0.0003889991,4.8e-06,7.68e-05,14.47992736,87.43301896,8.281517909
1.12e-05,0.0003889991,4.8e-06,8.11e-05,15.06812431,87.2462073,8.773101147
1.12e-05,0.0003889991,4.8e-06,8.53e-05,15.63151633,87.05752603,9.217793184
1.12e-05,0.0003889991,4.8e-06,8.96e-05,16.17287033,86.86785829,9.622438637
1.12e-05,0.0003889991,4.266667e-06,3.84e-05,7.631782556,95.88644117,3.934989566
1.12e-05,0.0003889991,4.266667e-06,4.27e-05,8.720887969,92.72260373,4.392897753
1.12e-05,0.0003889991,4.266667e-06,4.69e-05,9.706621508,90.705909,4.939328513
1.12e-05,0.0003889991,4.266667e-06,5.12e-05,10.60840003,89.55738003,5.527029939
1.12e-05,0.0003889991,4.266667e-06,5.55e-05,11.44102083,88.48605221,6.017788683
1.12e-05,0.0003889991,4.266667e-06,5.97e-05,12.21577735,87.47715163,6.435199348
1.12e-05,0.0003889991,4.266667e-06,6.4e-05,12.94131946,86.52143655,6.795289189
1.12e-05,0.0003889991,4.266667e-06,6.83e-05,13.62441863,86.07616791,7.325816195000001
1.12e-05,0.0003889991,4.266667e-06,7.25e-05,14.27134136,85.91471824,7.917580996
1.12e-05,0.0003889991,4.266667e-06,7.68e-05,14.88630128,85.75034976,8.445292708
1.12e-05,0.0003889991,4.266667e-06,8.11e-05,15.47315704,85.58330575,8.919682294
1.12e-05,0.0003889991,4.266667e-06,8.53e-05,16.03515557,85.41427298,9.349052554
1.12e-05,0.0003889991,4.266667e-06,8.96e-05,16.57505755,85.24414612,9.7399591
1.12e-05,0.0003889991,4.533333e-06,3.84e-05,6.985032366,100.0932254,3.716295585
1.12e-05,0.0003889991,4.533333e-06,4.27e-05,8.074922573,96.83189532,4.212369734
1.12e-05,0.0003889991,4.533333e-06,4.69e-05,9.061456645,94.00829835,4.640979974
1.12e-05,0.0003889991,4.533333e-06,5.12e-05,9.964334199,92.81621881,5.269341445
1.12e-05,0.0003889991,4.533333e-06,5.55e-05,10.79821753,91.69486526,5.793546102
1.12e-05,0.0003889991,4.533333e-06,5.97e-05,11.57437399,90.63138046,6.2389493940000005
1.12e-05,0.0003889991,4.533333e-06,6.4e-05,12.30136913,89.61812661,6.622768574
1.12e-05,0.0003889991,4.533333e-06,6.83e-05,12.98655167,88.7428546,7.001626299
1.12e-05,0.0003889991,4.533333e-06,7.25e-05,13.63407498,88.55530353,7.626900298000001
1.12e-05,0.0003889991,4.533333e-06,7.68e-05,14.25115463,88.36039864,8.185316931
1.12e-05,0.0003889991,4.533333e-06,8.11e-05,14.84018592,88.16297915,8.686871296
1.12e-05,0.0003889991,4.533333e-06,8.53e-05,15.40443253,87.96373156,9.140447841
1.12e-05,0.0003889991,4.533333e-06,8.96e-05,15.94666735,87.76352915,9.55306016
